"Neighborhood","TotalUnits","LandSqFt","GrossSqFt","YearBuilt","TaxClass","SalePrice"
"HARLEM-CENTRAL           ",0,0,0,1920,"Class 2",189000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1942,"Class 2",189000
"HARLEM-CENTRAL           ",0,0,0,1901,"Class 2",190000
"HARLEM-CENTRAL           ",0,0,0,1957,"Class 2",190000
"MORNINGSIDE HEIGHTS      ",0,0,0,1940,"Class 2",190000
"UPPER EAST SIDE (59-79)  ",0,0,0,1910,"Class 2",190000
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",190632
"MIDTOWN EAST             ",0,0,0,1928,"Class 2",191500
"WASHINGTON HEIGHTS UPPER ",0,0,0,1951,"Class 2",192000
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",192660
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",192660
"MIDTOWN WEST             ",2,7532,112850,2007,"Class 4",192884
"MORNINGSIDE HEIGHTS      ",0,0,0,1956,"Class 2",193000
"MORNINGSIDE HEIGHTS      ",0,0,0,1905,"Class 2",193000
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",193217
"UPPER WEST SIDE (96-116) ",0,0,0,1920,"Class 2",193750
"WASHINGTON HEIGHTS UPPER ",0,0,0,1925,"Class 2",194000
"HARLEM-CENTRAL           ",0,0,0,1910,"Class 2",195000
"INWOOD                   ",1,0,0,0,"Class 2",195000
"UPPER EAST SIDE (79-96)  ",0,0,0,1905,"Class 2",195000
"WASHINGTON HEIGHTS UPPER ",0,1582,0,0,"Class 4",195000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",197000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",197000
"MANHATTAN VALLEY         ",1,0,0,1900,"Class 2",197583
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",197730
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",197730
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",197730
"TRIBECA                  ",1,0,0,0,"Class 4",197984
"TRIBECA                  ",1,0,0,0,"Class 4",197984
"GREENWICH VILLAGE-WEST   ",1,0,0,1920,"Class 2",198500
"GREENWICH VILLAGE-WEST   ",1,0,0,1920,"Class 2",198500
"HARLEM-CENTRAL           ",0,0,0,1904,"Class 2",199000
"INWOOD                   ",0,0,0,1925,"Class 2",199000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",199000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",199000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",199500
"WASHINGTON HEIGHTS UPPER ",0,0,0,1940,"Class 2",199555
"WASHINGTON HEIGHTS UPPER ",0,0,0,1940,"Class 2",199711
"WASHINGTON HEIGHTS UPPER ",0,0,0,1923,"Class 2",199750
"CHELSEA                  ",0,0,0,1958,"Class 2",2e+05
"FLATIRON                 ",1,0,0,1961,"Class 2",2e+05
"HARLEM-CENTRAL           ",0,2698,0,0,"Class 4",2e+05
"HARLEM-CENTRAL           ",0,1725,0,0,"Class 4",2e+05
"HARLEM-UPPER             ",0,0,0,1910,"Class 2",2e+05
"LOWER EAST SIDE          ",0,0,0,1920,"Class 2",2e+05
"MANHATTAN VALLEY         ",1,0,0,1960,"Class 2",2e+05
"MIDTOWN CBD              ",1,0,0,1903,"Class 4",2e+05
"MIDTOWN EAST             ",0,0,0,1930,"Class 2",2e+05
"MORNINGSIDE HEIGHTS      ",0,0,0,1956,"Class 2",2e+05
"MURRAY HILL              ",0,0,0,1932,"Class 2",2e+05
"MURRAY HILL              ",0,0,0,1932,"Class 2",2e+05
"MURRAY HILL              ",1,0,0,1900,"Class 4",2e+05
"UPPER EAST SIDE (59-79)  ",0,0,0,1964,"Class 2",2e+05
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",2e+05
"WASHINGTON HEIGHTS UPPER ",0,0,0,1920,"Class 2",2e+05
"WASHINGTON HEIGHTS UPPER ",0,0,0,1954,"Class 2",2e+05
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",202000
"UPPER WEST SIDE (96-116) ",0,0,0,1910,"Class 2",202000
"UPPER EAST SIDE (59-79)  ",0,0,0,1937,"Class 2",202800
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",202800
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",202800
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",202800
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",202800
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",202800
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",202800
"UPPER WEST SIDE (59-79)  ",0,0,0,1905,"Class 2",203000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1960,"Class 2",203000
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",203662
"INWOOD                   ",0,0,0,1949,"Class 2",204000
"UPPER EAST SIDE (79-96)  ",0,0,0,1917,"Class 2",204000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1951,"Class 2",204000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",204828
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",204828
"HARLEM-CENTRAL           ",0,0,0,1926,"Class 2",205000
"MANHATTAN VALLEY         ",0,0,0,1941,"Class 2",205000
"UPPER WEST SIDE (59-79)  ",10,1720,5802,1910,"Class 2",205000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",205000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1968,"Class 2",205000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",205842
"MANHATTAN VALLEY         ",1,0,0,1900,"Class 2",206679
"UPPER EAST SIDE (79-96)  ",0,0,0,1958,"Class 2",207500
"HARLEM-UPPER             ",0,0,0,1926,"Class 2",208000
"UPPER EAST SIDE (79-96)  ",0,0,0,1920,"Class 2",208000
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",209593
"HARLEM-WEST              ",0,0,0,1910,"Class 2",210000
"INWOOD                   ",0,0,0,1966,"Class 2",210000
"INWOOD                   ",1,0,0,0,"Class 2",210000
"LOWER EAST SIDE          ",1,0,0,1907,"Class 2",210000
"MORNINGSIDE HEIGHTS      ",0,0,0,1956,"Class 2",210000
"MORNINGSIDE HEIGHTS      ",0,0,0,1956,"Class 2",210000
"UPPER EAST SIDE (59-79)  ",0,0,0,1959,"Class 2",210000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",210000
"UPPER WEST SIDE (96-116) ",0,0,0,1907,"Class 2",210000
"WASHINGTON HEIGHTS LOWER ",0,0,0,1912,"Class 2",210000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1942,"Class 2",210000
"WASHINGTON HEIGHTS UPPER ",0,0,0,1951,"Class 2",210000
"UPPER WEST SIDE (59-79)  ",1,0,0,0,"Class 4",211926
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",212940
"HARLEM-CENTRAL           ",1,0,0,1940,"Class 2",212940
"MIDTOWN EAST             ",1,0,0,0,"Class 2",212962
"MIDTOWN EAST             ",0,0,0,1928,"Class 2",213000
"HARLEM-CENTRAL           ",0,0,0,1957,"Class 2",215000
